sequence_id,regime_name,best_bid,best_ask,mid_price,spread,bid_levels,ask_levels
4,stable_liquid,99.99,100.01,100.0,0.020000000000010232,3,2
9,stable_liquid,99.99,100.01,100.0,0.020000000000010232,5,5
14,stable_liquid,99.99,100.01,100.0,0.020000000000010232,5,5
19,stable_liquid,99.99,100.02,100.005,0.030000000000001137,5,4
24,stable_liquid,99.99,100.02,100.005,0.030000000000001137,5,5
29,stable_liquid,99.99,100.03,100.00999999999999,0.04000000000000625,5,4
34,stable_liquid,99.99,100.03,100.00999999999999,0.04000000000000625,5,4
39,stable_liquid,100.0,100.01,100.005,0.010000000000005116,6,5
44,stable_liquid,100.0,100.01,100.005,0.010000000000005116,6,5
49,stable_liquid,100.0,100.01,100.005,0.010000000000005116,6,5
54,stable_liquid,99.99,100.03,100.00999999999999,0.04000000000000625,5,4
59,stable_liquid,99.99,100.02,100.005,0.030000000000001137,5,5
64,stable_liquid,99.99,100.0,99.995,0.010000000000005116,5,6
69,stable_liquid,99.99,100.0,99.995,0.010000000000005116,5,6
74,stable_liquid,99.98,100.02,100.0,0.03999999999999204,5,5
79,stable_liquid,99.98,100.0,99.99000000000001,0.01999999999999602,5,6
84,stable_liquid,99.98,99.99,99.985,0.009999999999990905,6,7
89,stable_liquid,99.98,99.99,99.985,0.009999999999990905,6,8
94,stable_liquid,99.98,99.99,99.985,0.009999999999990905,6,8
99,stable_liquid,99.98,99.99,99.985,0.009999999999990905,7,8
104,stable_liquid,99.97,99.99,99.97999999999999,0.01999999999999602,6,8
109,stable_liquid,99.97,99.99,99.97999999999999,0.01999999999999602,7,8
114,stable_liquid,99.97,99.98,99.975,0.010000000000005116,7,9
119,stable_liquid,99.97,99.98,99.975,0.010000000000005116,7,9
124,stable_liquid,99.97,99.98,99.975,0.010000000000005116,7,9
129,stable_liquid,99.96,99.98,99.97,0.020000000000010232,6,9
134,stable_liquid,99.96,99.97,99.965,0.010000000000005116,6,10
139,stable_liquid,99.96,99.97,99.965,0.010000000000005116,6,10
144,stable_liquid,99.96,99.97,99.965,0.010000000000005116,6,10
149,stable_liquid,99.96,99.97,99.965,0.010000000000005116,6,10
154,stable_liquid,99.96,99.97,99.965,0.010000000000005116,6,10
159,stable_liquid,99.96,99.98,99.97,0.020000000000010232,6,9
164,stable_liquid,99.96,99.98,99.97,0.020000000000010232,6,9
169,stable_liquid,99.95,99.98,99.965,0.030000000000001137,5,9
174,stable_liquid,99.95,99.98,99.965,0.030000000000001137,5,9
179,stable_liquid,99.94,99.98,99.96000000000001,0.04000000000000625,4,9
184,stable_liquid,99.97,99.98,99.975,0.010000000000005116,6,9
189,stable_liquid,99.97,99.98,99.975,0.010000000000005116,6,9
194,stable_liquid,99.97,99.98,99.975,0.010000000000005116,6,9
199,stable_liquid,99.97,99.98,99.975,0.010000000000005116,6,9
204,stable_liquid,99.97,99.98,99.975,0.010000000000005116,6,9
209,stable_liquid,99.97,99.98,99.975,0.010000000000005116,6,9
214,stable_liquid,99.96,99.98,99.97,0.020000000000010232,5,9
219,stable_liquid,99.96,99.97,99.965,0.010000000000005116,5,10
224,stable_liquid,99.96,99.97,99.965,0.010000000000005116,5,10
229,stable_liquid,99.94,99.96,99.94999999999999,0.01999999999999602,4,10
234,stable_liquid,99.94,99.96,99.94999999999999,0.01999999999999602,5,10
239,stable_liquid,99.93,99.94,99.935,0.009999999999990905,4,10
244,stable_liquid,99.93,99.94,99.935,0.009999999999990905,5,10
249,stable_liquid,99.93,99.94,99.935,0.009999999999990905,5,10
254,stable_liquid,99.93,99.94,99.935,0.009999999999990905,5,10
259,stable_liquid,99.93,99.94,99.935,0.009999999999990905,5,10
264,stable_liquid,99.93,99.94,99.935,0.009999999999990905,5,10
269,stable_liquid,99.93,99.94,99.935,0.009999999999990905,5,10
